User,spotify_id,Number of Times ,Genre
5,2HAVFycrhtbmLxyyxpm6JI,18,hip hop
5,71kZP3u1h27zyjfULjSxPT,7,rap
5,4piae89WoVnwucdJzWrB7M,14,hip hop
5,7isbPMomU1kbgaNKOFocGJ,8,rap
5,2OgGlK7DqGg86Z5uUxUgGg,7,hip hop
5,20dP2DaMHIAmwWAbp7peSr,2,rap
5,6Y9kdB2O0h9gq9y2vclsWT,6,rap
5,2yJ9GVCLMmzBBfQAnfzlwr,10,rap
5,6R0GRYk2vs2XuBVemYK5YZ,10,rap
6,3JEzGRDUsozrehZTq3dKE8,15,hip hop
6,5tFep7dXGd7vEJ668wTPux,9,rap
6,119c93MHjrDLJTApCVGpvx,6,hip hop
6,0rHJxNaQRMGK6Y4TUx3xRO,14,rap
6,4Hf2HHwkUEJZzJgp3KDKMu,6,hip hop
6,2LLFl56eIFGFlnrplUC26f,3,rap
6,1LM6EReMkAxuDXDF26ekl2,17,hip hop
6,27dUo79lgLEy4Rk5w3UvSL,19,hip hop
6,3hQCHzkE5oSA3F1xM8bpcM,3,rap
6,5J5PXmMdQ2nh1lZOal8KmK,5,rap
6,275a9yzwGB6ncAW4SxY7q3,6,rap
6,0kF1yJzBGNFTugYQ4nbBSd,7,hip hop
6,2Mb3zpobD0CvJGWv6NpsPy,12,hip hop
6,7Afjy65bIVBMpFwCLTiuEe,14,hip hop
7,1FvU97lrWOG2NRxErh6OZz,11,rap
7,4WC72P8F0CnYmqoPYQ7JDD,4,rap
7,4b5aJdOgxps6z0dPe6wCHF,8,hip hop
7,2HAVFycrhtbmLxyyxpm6JI,1,hip hop
7,275a9yzwGB6ncAW4SxY7q3,16,rap
7,2OgGlK7DqGg86Z5uUxUgGg,11,hip hop
7,10I3CmmwT0BkOVhduDy53o,17,rap
7,32UioUCnMFsr2UN7SvDyXj,11,hip hop
7,4WxQGUmWBRNovxlF2g8Xdv,16,hip hop
7,2YYvZyVDx0GxkoAYyHyV24,6,rap
8,4WC72P8F0CnYmqoPYQ7JDD,16,rap
8,1LM6EReMkAxuDXDF26ekl2,7,hip hop
8,6aRlUgqcLgrxQE3RMngjN5,5,rap
8,27dUo79lgLEy4Rk5w3UvSL,15,hip hop
8,5PQmSHzWnlgG4EBuIqjac2,18,hip hop
8,71kZP3u1h27zyjfULjSxPT,9,rap
8,4piae89WoVnwucdJzWrB7M,19,hip hop
8,7isbPMomU1kbgaNKOFocGJ,10,rap
8,5IZc3KIVFhjzJ0L2kiXzUl,17,rap
8,0W2mz7mvaBaEsC4rmoRNPn,20,hip hop
8,6uP0XLqjRqFx8HAfesdcAg,6,hip hop
9,5tFep7dXGd7vEJ668wTPux,12,rap
9,6N34lGtJ3yxg9GrFRd6Wpg,9,hip hop
9,0rHJxNaQRMGK6Y4TUx3xRO,17,rap
9,3hQCHzkE5oSA3F1xM8bpcM,18,rap
9,4b5aJdOgxps6z0dPe6wCHF,16,hip hop
9,0I3q5fE6wg7LIfHGngUTnV,7,hip hop
9,03tqyYWC9Um2ZqU0ZN849H,13,rap
9,3rMyMv8EjKXoPnaRo2hdJN,19,rap
9,2YYvZyVDx0GxkoAYyHyV24,2,rap
9,7zBPzAjKAqQpcv8F8GCq5s,12,rap
9,2p9sprAX27D6U5cuSE9NsM,6,hip hop
9,5HQVUIKwCEXpe7JIHyY734,8,hip hop
10,61QSuw5VlC0LTS8WMO356g,15,hip hop
10,1hWYT0w2R0J19rlVkiez7X,16,hip hop
10,0uFvvXbmGIXlf5ZgtHyYpf,8,rap
10,4Hf2HHwkUEJZzJgp3KDKMu,9,hip hop
10,4C7Ss9bTPOWJMh3rarF1mN,4,hip hop
10,1yo16b3u0lptm6Cs7lx4AD,14,hip hop
10,1LM6EReMkAxuDXDF26ekl2,8,hip hop
10,27dUo79lgLEy4Rk5w3UvSL,11,hip hop
10,4b5aJdOgxps6z0dPe6wCHF,17,hip hop
10,2HAVFycrhtbmLxyyxpm6JI,11,hip hop
10,0IVAlb0cFCH1cQ974iR1TU,5,hip hop
10,275a9yzwGB6ncAW4SxY7q3,5,rap
10,6JI5wNWYdBw68GZjOMmgK5,11,hip hop
10,0W2mz7mvaBaEsC4rmoRNPn,2,hip hop
10,32UioUCnMFsr2UN7SvDyXj,13,hip hop
10,5kWShBA43yNFBzHk7g1Mtd,4,hip hop
10,3rMyMv8EjKXoPnaRo2hdJN,10,rap
10,4WxQGUmWBRNovxlF2g8Xdv,16,hip hop
10,7xVLFuuYdAvcTfcP3IG3dS,15,rap
10,6uP0XLqjRqFx8HAfesdcAg,2,hip hop
11,3JEzGRDUsozrehZTq3dKE8,16,hip hop
11,4hrae8atte6cRlSC9a7VCO,15,hip hop
11,119c93MHjrDLJTApCVGpvx,2,hip hop
11,0rHJxNaQRMGK6Y4TUx3xRO,19,rap
11,5vIu19A3EEdHgFM4Cba6F4,7,rap
11,4anqYZt4APNlFwQixpbdZR,2,hip hop
11,2LLFl56eIFGFlnrplUC26f,16,rap
11,2c8sgbZoEanC3QyFNZxUcA,12,rap
11,3hQCHzkE5oSA3F1xM8bpcM,8,rap
11,2HAVFycrhtbmLxyyxpm6JI,11,hip hop
11,5J5PXmMdQ2nh1lZOal8KmK,2,rap
11,2OXAWAySnYPJHLvgLX5fFT,4,hip hop
11,275a9yzwGB6ncAW4SxY7q3,16,rap
11,6JI5wNWYdBw68GZjOMmgK5,5,hip hop
11,3rMyMv8EjKXoPnaRo2hdJN,5,rap
12,5NQbUaeTEOGdD6hHcre0dZ,12,rap
12,3X414ZlCf5U7pcpIaIcUkT,12,hip hop
12,1LM6EReMkAxuDXDF26ekl2,18,hip hop
12,5J5PXmMdQ2nh1lZOal8KmK,17,rap
12,03tqyYWC9Um2ZqU0ZN849H,12,rap
12,2YYvZyVDx0GxkoAYyHyV24,15,rap
12,0kPgn96FXEO9Bnz9QN1Tc0,14,rap
12,3tvWMBIblzT5FSjKtIeRR1,5,hip hop
13,6N34lGtJ3yxg9GrFRd6Wpg,10,hip hop
13,0rHJxNaQRMGK6Y4TUx3xRO,17,rap
13,08X9m3tpcthgrItjPVAmCu,1,hip hop
13,2Cth0v1xri32oZ799rL3rl,5,rap
13,27dUo79lgLEy4Rk5w3UvSL,12,hip hop
13,0IVAlb0cFCH1cQ974iR1TU,10,hip hop
13,4piae89WoVnwucdJzWrB7M,14,hip hop
13,0W2mz7mvaBaEsC4rmoRNPn,18,hip hop
13,32UioUCnMFsr2UN7SvDyXj,20,hip hop
14,1hWYT0w2R0J19rlVkiez7X,6,hip hop
14,4WC72P8F0CnYmqoPYQ7JDD,5,rap
14,119c93MHjrDLJTApCVGpvx,18,hip hop
14,0rHJxNaQRMGK6Y4TUx3xRO,8,rap
14,2Cth0v1xri32oZ799rL3rl,3,rap
14,1yo16b3u0lptm6Cs7lx4AD,11,hip hop
14,3X414ZlCf5U7pcpIaIcUkT,8,hip hop
14,2LLFl56eIFGFlnrplUC26f,2,rap
14,5PQmSHzWnlgG4EBuIqjac2,3,hip hop
14,0I3q5fE6wg7LIfHGngUTnV,17,hip hop
14,20dP2DaMHIAmwWAbp7peSr,8,rap
14,4E5IFAXCob6QqZaJMTw5YN,8,hip hop
14,5kWShBA43yNFBzHk7g1Mtd,7,hip hop
15,0rHJxNaQRMGK6Y4TUx3xRO,12,rap
15,4piae89WoVnwucdJzWrB7M,18,hip hop
15,6R0GRYk2vs2XuBVemYK5YZ,14,rap
15,7xVLFuuYdAvcTfcP3IG3dS,1,rap
16,3JEzGRDUsozrehZTq3dKE8,4,hip hop
16,5tFep7dXGd7vEJ668wTPux,7,rap
16,119c93MHjrDLJTApCVGpvx,11,hip hop
16,1yo16b3u0lptm6Cs7lx4AD,16,hip hop
16,10I3CmmwT0BkOVhduDy53o,8,rap
16,6Y9kdB2O0h9gq9y2vclsWT,17,rap
16,5kWShBA43yNFBzHk7g1Mtd,3,hip hop
16,3KiEydhjn7yf58h9jBD5Sa,16,rap
16,0kPgn96FXEO9Bnz9QN1Tc0,3,rap
17,4WC72P8F0CnYmqoPYQ7JDD,17,rap
17,5vIu19A3EEdHgFM4Cba6F4,3,rap
17,4C7Ss9bTPOWJMh3rarF1mN,1,hip hop
17,2Cth0v1xri32oZ799rL3rl,15,rap
17,2Cth0v1xri32oZ799rL3rl,19,rap
17,3X414ZlCf5U7pcpIaIcUkT,9,hip hop
17,30oTS7bm0aH3p7lqjEIu8q,9,hip hop
17,1LM6EReMkAxuDXDF26ekl2,5,hip hop
17,2OXAWAySnYPJHLvgLX5fFT,3,hip hop
17,2OgGlK7DqGg86Z5uUxUgGg,17,hip hop
17,53BZ6XygAoubR5DU5w38Vq,14,hip hop
17,6Y9kdB2O0h9gq9y2vclsWT,17,rap
18,5NQbUaeTEOGdD6hHcre0dZ,8,rap
18,6lV2MSQmRIkycDScNtrBXO,18,rap
18,4hrae8atte6cRlSC9a7VCO,6,hip hop
18,08X9m3tpcthgrItjPVAmCu,10,hip hop
18,2Cth0v1xri32oZ799rL3rl,13,rap
18,1yo16b3u0lptm6Cs7lx4AD,17,hip hop
18,1LM6EReMkAxuDXDF26ekl2,10,hip hop
18,3hQCHzkE5oSA3F1xM8bpcM,18,rap
18,5PQmSHzWnlgG4EBuIqjac2,1,hip hop
18,3yNVfRQlUPViUh8O2V9SQn,14,hip hop
18,4piae89WoVnwucdJzWrB7M,5,hip hop
18,7isbPMomU1kbgaNKOFocGJ,8,rap
18,6JI5wNWYdBw68GZjOMmgK5,6,hip hop
19,6lV2MSQmRIkycDScNtrBXO,9,rap
19,1FvU97lrWOG2NRxErh6OZz,13,rap
19,6N34lGtJ3yxg9GrFRd6Wpg,16,hip hop
19,0uFvvXbmGIXlf5ZgtHyYpf,15,rap
19,66TRwr5uJwPt15mfFkzhbi,11,rap
19,59e7E2LMPZ2bhW5G6aCwX8,17,rap
19,5wwLfjdiSHsgKyEO6V5rDe,17,hip hop
19,2Cth0v1xri32oZ799rL3rl,10,rap
19,3X414ZlCf5U7pcpIaIcUkT,12,hip hop
19,6pvd8OBnYlV6FqskUOvWlx,3,hip hop
19,4E5IFAXCob6QqZaJMTw5YN,2,hip hop
19,7Kutf53V4k0CvU4nKu5oK6,15,hip hop
19,5kWShBA43yNFBzHk7g1Mtd,6,hip hop
19,0kPgn96FXEO9Bnz9QN1Tc0,19,rap
19,2p9sprAX27D6U5cuSE9NsM,11,hip hop
19,7xVLFuuYdAvcTfcP3IG3dS,13,rap
20,6lV2MSQmRIkycDScNtrBXO,9,rap
20,6fujklziTHa8uoM5OQSfIo,1,rap
20,4WC72P8F0CnYmqoPYQ7JDD,6,rap
20,4anqYZt4APNlFwQixpbdZR,12,hip hop
20,5wwLfjdiSHsgKyEO6V5rDe,3,hip hop
20,2c8sgbZoEanC3QyFNZxUcA,18,rap
20,6aRlUgqcLgrxQE3RMngjN5,11,rap
20,27dUo79lgLEy4Rk5w3UvSL,17,hip hop
20,0IVAlb0cFCH1cQ974iR1TU,3,hip hop
20,03tqyYWC9Um2ZqU0ZN849H,12,rap
20,7isbPMomU1kbgaNKOFocGJ,5,rap
20,6JI5wNWYdBw68GZjOMmgK5,16,hip hop
20,3rMyMv8EjKXoPnaRo2hdJN,4,rap
20,2yJ9GVCLMmzBBfQAnfzlwr,6,rap
21,3JEzGRDUsozrehZTq3dKE8,2,hip hop
21,3iL2l5gUqyPS6vDwJFgJTR,16,rap
21,0svl7cK07gK1ia5ainczU5,5,hip hop
21,2Cth0v1xri32oZ799rL3rl,1,rap
21,1yo16b3u0lptm6Cs7lx4AD,13,hip hop
21,2c8sgbZoEanC3QyFNZxUcA,7,rap
21,71kZP3u1h27zyjfULjSxPT,7,rap
21,0I3q5fE6wg7LIfHGngUTnV,1,hip hop
21,6Y9kdB2O0h9gq9y2vclsWT,20,rap
21,0kPgn96FXEO9Bnz9QN1Tc0,18,rap
22,5tFep7dXGd7vEJ668wTPux,14,rap
22,6N34lGtJ3yxg9GrFRd6Wpg,4,hip hop
22,6aRlUgqcLgrxQE3RMngjN5,3,rap
22,5PQmSHzWnlgG4EBuIqjac2,18,hip hop
22,71kZP3u1h27zyjfULjSxPT,5,rap
22,03tqyYWC9Um2ZqU0ZN849H,7,rap
22,4piae89WoVnwucdJzWrB7M,16,hip hop
22,6R0GRYk2vs2XuBVemYK5YZ,17,rap
23,5NQbUaeTEOGdD6hHcre0dZ,6,rap
23,6N34lGtJ3yxg9GrFRd6Wpg,8,hip hop
23,2Cth0v1xri32oZ799rL3rl,3,rap
23,2LLFl56eIFGFlnrplUC26f,17,rap
23,2c8sgbZoEanC3QyFNZxUcA,16,rap
23,3XrvEifl0hIzgBGUa5jBLS,19,hip hop
23,4piae89WoVnwucdJzWrB7M,18,hip hop
23,20dP2DaMHIAmwWAbp7peSr,2,rap
23,10I3CmmwT0BkOVhduDy53o,11,rap
23,3rMyMv8EjKXoPnaRo2hdJN,18,rap
23,2yJ9GVCLMmzBBfQAnfzlwr,4,rap
23,2p9sprAX27D6U5cuSE9NsM,19,hip hop
23,7xVLFuuYdAvcTfcP3IG3dS,2,rap
24,5NQbUaeTEOGdD6hHcre0dZ,13,rap
24,08X9m3tpcthgrItjPVAmCu,11,hip hop
24,2HAVFycrhtbmLxyyxpm6JI,13,hip hop
24,2OXAWAySnYPJHLvgLX5fFT,7,hip hop
24,3bMNprrp2JDKZsGbiXpsJl,4,rap
24,2OgGlK7DqGg86Z5uUxUgGg,7,hip hop
24,4E5IFAXCob6QqZaJMTw5YN,13,hip hop
24,10I3CmmwT0BkOVhduDy53o,5,rap
24,7zBPzAjKAqQpcv8F8GCq5s,3,rap
24,3tvWMBIblzT5FSjKtIeRR1,3,hip hop
24,4pdLZsxq0y5oJDb6Cxlokw,1,hip hop
25,3JEzGRDUsozrehZTq3dKE8,6,hip hop
25,1FvU97lrWOG2NRxErh6OZz,19,rap
25,4WC72P8F0CnYmqoPYQ7JDD,5,rap
25,2Cth0v1xri32oZ799rL3rl,13,rap
25,2c8sgbZoEanC3QyFNZxUcA,14,rap
25,3hQCHzkE5oSA3F1xM8bpcM,14,rap
25,3yNVfRQlUPViUh8O2V9SQn,19,hip hop
25,3bMNprrp2JDKZsGbiXpsJl,13,rap
25,2OgGlK7DqGg86Z5uUxUgGg,8,hip hop
25,33ZXjLCpiINn8eQIDYEPTD,12,hip hop
25,6Y9kdB2O0h9gq9y2vclsWT,15,rap
25,2Mb3zpobD0CvJGWv6NpsPy,6,hip hop
25,7zBPzAjKAqQpcv8F8GCq5s,8,rap
25,0kPgn96FXEO9Bnz9QN1Tc0,7,rap
25,6uP0XLqjRqFx8HAfesdcAg,5,hip hop
26,6lV2MSQmRIkycDScNtrBXO,13,rap
26,1FvU97lrWOG2NRxErh6OZz,13,rap
26,0uFvvXbmGIXlf5ZgtHyYpf,18,rap
26,3hQCHzkE5oSA3F1xM8bpcM,11,rap
26,0IVAlb0cFCH1cQ974iR1TU,16,hip hop
26,3bMNprrp2JDKZsGbiXpsJl,18,rap
26,53BZ6XygAoubR5DU5w38Vq,12,hip hop
26,0W2mz7mvaBaEsC4rmoRNPn,11,hip hop
26,7zBPzAjKAqQpcv8F8GCq5s,8,rap
26,7xVLFuuYdAvcTfcP3IG3dS,6,rap
27,5NQbUaeTEOGdD6hHcre0dZ,17,rap
27,2LLFl56eIFGFlnrplUC26f,13,rap
27,30oTS7bm0aH3p7lqjEIu8q,2,hip hop
27,0I3q5fE6wg7LIfHGngUTnV,12,hip hop
27,5IZc3KIVFhjzJ0L2kiXzUl,9,rap
27,7wqSzGeodspE3V6RBD5W8L,16,rap
27,3ABG1UQTk0eLYUAeWkmfMi,2,hip hop
27,0kF1yJzBGNFTugYQ4nbBSd,10,hip hop
27,7zBPzAjKAqQpcv8F8GCq5s,19,rap
28,0uFvvXbmGIXlf5ZgtHyYpf,8,rap
28,59e7E2LMPZ2bhW5G6aCwX8,6,rap
28,30oTS7bm0aH3p7lqjEIu8q,2,hip hop
28,2OgGlK7DqGg86Z5uUxUgGg,7,hip hop
28,33ZXjLCpiINn8eQIDYEPTD,16,hip hop
28,2YYvZyVDx0GxkoAYyHyV24,20,rap
29,1hWYT0w2R0J19rlVkiez7X,7,hip hop
29,3iL2l5gUqyPS6vDwJFgJTR,2,rap
29,4WC72P8F0CnYmqoPYQ7JDD,17,rap
29,30oTS7bm0aH3p7lqjEIu8q,18,hip hop
29,5ByAIlEEnxYdvpnezg7HTX,7,hip hop
29,5zaIgI9HNUPIcfaeVRlxGa,4,rap
29,3bMNprrp2JDKZsGbiXpsJl,12,rap
29,275a9yzwGB6ncAW4SxY7q3,7,rap
29,20dP2DaMHIAmwWAbp7peSr,13,rap
29,7wqSzGeodspE3V6RBD5W8L,6,rap
29,0kF1yJzBGNFTugYQ4nbBSd,19,hip hop
29,3rMyMv8EjKXoPnaRo2hdJN,18,rap
29,2Mb3zpobD0CvJGWv6NpsPy,8,hip hop
29,7zBPzAjKAqQpcv8F8GCq5s,14,rap
30,5NQbUaeTEOGdD6hHcre0dZ,18,rap
30,1FvU97lrWOG2NRxErh6OZz,9,rap
30,6N34lGtJ3yxg9GrFRd6Wpg,6,hip hop
30,27dUo79lgLEy4Rk5w3UvSL,15,hip hop
30,5ByAIlEEnxYdvpnezg7HTX,18,hip hop
30,5J5PXmMdQ2nh1lZOal8KmK,2,rap
30,4piae89WoVnwucdJzWrB7M,19,hip hop
30,4E5IFAXCob6QqZaJMTw5YN,10,hip hop
30,6JI5wNWYdBw68GZjOMmgK5,6,hip hop
30,7Kutf53V4k0CvU4nKu5oK6,18,hip hop
30,5kWShBA43yNFBzHk7g1Mtd,4,hip hop
30,7zBPzAjKAqQpcv8F8GCq5s,17,rap
30,6R0GRYk2vs2XuBVemYK5YZ,15,rap
30,4pdLZsxq0y5oJDb6Cxlokw,14,hip hop
,,,
